dataset,prediction_length,baseline_mae,stu_mae
monash_m3_monthly,18,768.784850485333,754.0454255052715
m4_monthly,18,688.5704473063151,680.4023372124566
m4_quarterly,8,773.8887458063762,718.7719123204549
m4_yearly,6,1202.971275584855,999.5212789797706
electricity,168,297.9390723676542,292.4265004629188
traffic,168,0.015724690448139563,0.01715801188046277
temperature_rain_without_missing,30,5.343559030710615,5.1340758611428985
bitcoin_with_missing,30,4.748317007110562e+17,1.0283174609149619e+18
rideshare_with_missing,168,1.2432370372847015,1.3374018606796763
sunspot_without_missing,30,0.9468907674153646,0.388828976949056
